Equipo,Posición,Jugados,Ganados,Empatados,Perdidos,Goles a Favor,Goles en Contra,Diferencia de Goles,Puntos
Manchester City FC,1,38,28,5,5,94,33,61,89
Arsenal FC,2,38,26,6,6,88,43,45,84
Manchester United FC,3,38,23,6,9,58,43,15,75
Liverpool FC,5,38,19,10,9,75,47,28,67
Tottenham Hotspur FC,8,38,18,6,14,70,63,7,60
Chelsea FC,12,38,11,11,16,38,47,-9,44
